epoch,reconstruction_loss,encoder_loss,species_discriminator_loss,condition_discriminator_loss
1,0.1392208832231435,0.21791371296752582,0.2792134105481885,0.20442930067127402
2,0.07887495715509761,0.06258957680653442,0.01457625094123862,0.05112593553282998
3,0.06361681866374883,0.02529436273669655,0.011757277481427247,0.028788642957806587
4,0.060171696611426094,0.018203168303113092,0.020006640105169605,0.019225351004437966
5,0.05815389515324072,0.026109468445859173,0.017319007215767422,0.02443335357714783
6,0.058435242284427986,0.023708661044524473,0.013525563038208267,0.023149421692571857
7,0.059402079744772476,0.03364893614145165,0.01311895793134516,0.019727158444848927
8,0.05559823526577516,0.008106221889399669,0.002360366152557121,0.009961011163382367
9,0.05528992583805865,0.011631004364145074,0.0025973039605146782,0.010341604303737933
10,0.054259962317618454,0.015591492093252864,0.002352590270509774,0.006152224155481566
11,0.05559791319749572,0.011275868672369556,0.0015045247167687523,0.013415201715278354
12,0.05532200566746972,0.00980715144594962,0.003594108375678347,0.008371819742023945
13,0.054014387117190796,0.006383404273285784,0.004116070959505371,0.0042153728004036975
14,0.05332376299933954,0.003441296168603003,0.009358083268373528,0.0021485762607136912
15,0.05311310900883241,0.0015205774742009287,0.006297491051637652,0.004609356179240753
16,0.05325783010233532,0.0039015112825754013,0.005818925850855356,0.006569483941844242
17,0.05441774292425676,0.002605119497853924,0.02092747794284316,0.0027267713819376445
18,0.051685055887157265,0.0027567467451180246,0.008456644528037445,0.002563553428362039
19,0.05236156555739316,0.010501640832940624,0.0045564051781019025,0.006879710211333903
20,0.05194893479347229,0.005248691415710544,0.006508839999283241,0.0019162945364686575
